variant,status,signals_used,precision,recall,f1,pr_auc,cost_sensitive_loss,overreliance,underreliance,correct_rejection,wrong_confident_avoidance,ai_coverage,expert_deferral_rate,escalation_rate,capacity_violation_rate,fairness_disparity,fairness_available,audit_coverage,evidence_completeness
distance_only,completed,distance_uncertainty,0.5446428571428571,0.042717086834733894,0.07922077922077923,0.20398419895975525,1369.907,0.014600952056421217,0.004688000165215865,8.260793242671127e-05,0.004171011470281543,0.9952293919023574,5.162995776669455e-05,0.004718978139875881,0.0,0.0,0.0,1.0,1.0
distance_plus_calibration,completed,"distance_uncertainty,calibration_risk",0.5288461538461539,0.03851540616246499,0.07180156657963446,0.20398419895975525,1375.793,0.01468355998884793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
distance_plus_neighbor_error,completed,"distance_uncertainty,neighbor_error_rate",0.5288461538461539,0.03851540616246499,0.07180156657963446,0.20398419895975525,1375.793,0.01468355998884793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
distance_plus_wrong_confident,completed,"distance_uncertainty,wrong_confident_risk",0.5377358490566038,0.03991596638655462,0.0743155149934811,0.20398419895975525,1373.793,0.014662908005741252,0.0007124934171803848,2.0651983106677818e-05,0.0020855057351407717,0.999266854599713,0.0,0.0007331454002870625,0.0,0.0,0.0,1.0,1.0
full_magd_heuristic,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.5288461538461539,0.03851540616246499,0.07180156657963446,0.20398419895975525,1375.793,0.01468355998884793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
full_magd_learned,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.5288461538461539,0.03851540616246499,0.07180156657963446,0.20398419895975525,1375.793,0.01468355998884793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_initial,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.639751552795031,0.07212885154061624,0.12964128382630585,0.20398419895975525,1328.306,0.0136406348419607,0.08930950094482823,0.00104292514688723,0.0,0.9096475739082845,0.0,0.09035242609171545,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_intervention_calibrated,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.639751552795031,0.07212885154061624,0.12964128382630585,0.20398419895975525,1328.306,0.0136406348419607,0.08930950094482823,0.00104292514688723,0.0,0.9096475739082845,0.0,0.09035242609171545,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_fairness_if_available,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.639751552795031,0.07212885154061624,0.12964128382630585,0.20398419895975525,1328.306,0.0136406348419607,0.08930950094482823,0.00104292514688723,0.08029197080291971,0.9096475739082845,0.0,0.09035242609171545,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_capacity_if_available,skipped_no_capacity_data,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",,,,,,,,,,,,,,,,,
