split_used_to_learn_bins,calibration_bin,bin_lower,bin_upper,count,mean_confidence,empirical_accuracy,absolute_calibration_gap,bin_weight,expected_calibration_error
validation,0,0.0,0.1,0,,,,0.0,0.0005582669591312236
validation,1,0.1,0.2,0,,,,0.0,0.0005582669591312236
validation,2,0.2,0.30000000000000004,0,,,,0.0,0.0005582669591312236
validation,3,0.30000000000000004,0.4,0,,,,0.0,0.0005582669591312236
validation,4,0.4,0.5,0,,,,0.0,0.0005582669591312236
validation,5,0.5,0.6000000000000001,105,0.555240376323283,0.5428571428571428,0.012383233466140231,0.0008799644661967935,0.0005582669591312236
validation,6,0.6000000000000001,0.7000000000000001,180,0.6621269848222064,0.6333333333333333,0.02879365148887314,0.0015085105134802176,0.0005582669591312236
validation,7,0.7000000000000001,0.8,395,0.7590295912338473,0.7493670886075949,0.009662502626252345,0.0033103425156926995,0.0005582669591312236
validation,8,0.8,0.9,1358,0.8616297053817377,0.8387334315169367,0.022896273864800976,0.011380873762811864,0.0005582669591312236
validation,9,0.9,1.0,117285,0.9919019581629084,0.9916869164854841,0.00021504167742425473,0.9829203087418185,0.0005582669591312236
