expert,accuracy,false_positive_rate,false_negative_rate,cost_sensitive_loss,groupwise_false_positive_rate,groupwise_false_negative_rate,false_positive_rate_disparity,false_negative_rate_disparity,disparity_summary,bias_risk,fairness_available,remaining_capacity_total,remaining_capacity_by_batch,capacity_enabled,capacity_penalty,expected_cost
sparse#3,0.9294678860263098,0.06181769114831561,0.8749706227967098,5107.017,0.06796116504854369,1.0,0.026294498381877023,0.17647058823529416,"{""fnr_disparity"": 0.17647058823529416, ""fpr_disparity"": 0.026294498381877023, ""groups"": [{""false_negative_rate"": 0.88, ""false_positive_rate"": 0.06268509378084897, ""group"": ""10""}, {""false_negative_rate"": 0.8854415274463007, ""false_positive_rate"": 0.062239393651497395, ""group"": ""20""}, {""false_negative_rate"": 0.8634496919917864, ""false_positive_rate"": 0.061531381990895195, ""group"": ""30""}, {""false_negative_rate"": 0.8725065047701648, ""false_positive_rate"": 0.0619316887259471, ""group"": ""40""}, {""false_negative_rate"": 0.8795620437956204, ""false_positive_rate"": 0.062147200290407476, ""group"": ""50""}, {""false_negative_rate"": 0.89587852494577, ""false_positive_rate"": 0.05817504655493482, ""group"": ""60""}, {""false_negative_rate"": 0.8235294117647058, ""false_positive_rate"": 0.06368460955269144, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.06796116504854369, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.041666666666666664, ""group"": ""90""}]}",0.17647058823529416,True,0.0,{},False,0.0,0.9137883488392226
standard#9,0.9345908084596224,0.05653234347631268,0.8848413631022327,5030.6849999999995,0.08333333333333333,1.0,0.02866897005593945,0.13603818615751795,"{""fnr_disparity"": 0.13603818615751795, ""fpr_disparity"": 0.02866897005593945, ""groups"": [{""false_negative_rate"": 0.92, ""false_positive_rate"": 0.05466436327739388, ""group"": ""10""}, {""false_negative_rate"": 0.863961813842482, ""false_positive_rate"": 0.055757882847220025, ""group"": ""20""}, {""false_negative_rate"": 0.8901437371663244, ""false_positive_rate"": 0.05688037208079281, ""group"": ""30""}, {""false_negative_rate"": 0.8820468343451865, ""false_positive_rate"": 0.05654632448890822, ""group"": ""40""}, {""false_negative_rate"": 0.8886861313868614, ""false_positive_rate"": 0.05697431708866503, ""group"": ""50""}, {""false_negative_rate"": 0.8915401301518439, ""false_positive_rate"": 0.056759776536312846, ""group"": ""60""}, {""false_negative_rate"": 0.8725490196078431, ""false_positive_rate"": 0.06103108415466262, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.06601941747572816, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.08333333333333333, ""group"": ""90""}]}",0.13603818615751795,True,0.0,{},False,0.0,0.9152713439118861
unfair#7,0.945861741541763,0.04514185913886513,0.8846063454759107,4774.667,0.08333333333333333,1.0,0.042556634304207114,0.15035799522673032,"{""fnr_disparity"": 0.15035799522673032, ""fpr_disparity"": 0.042556634304207114, ""groups"": [{""false_negative_rate"": 0.88, ""false_positive_rate"": 0.042201382033563675, ""group"": ""10""}, {""false_negative_rate"": 0.8496420047732697, ""false_positive_rate"": 0.044357179803865686, ""group"": ""20""}, {""false_negative_rate"": 0.8942505133470225, ""false_positive_rate"": 0.044439331437868754, ""group"": ""30""}, {""false_negative_rate"": 0.8846487424111015, ""false_positive_rate"": 0.04647983595352016, ""group"": ""40""}, {""false_negative_rate"": 0.8795620437956204, ""false_positive_rate"": 0.04657409928305654, ""group"": ""50""}, {""false_negative_rate"": 0.9002169197396963, ""false_positive_rate"": 0.04409683426443203, ""group"": ""60""}, {""false_negative_rate"": 0.9117647058823529, ""false_positive_rate"": 0.04169825625473844, ""group"": ""70""}, {""false_negative_rate"": 0.9130434782608695, ""false_positive_rate"": 0.040776699029126215, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.08333333333333333, ""group"": ""90""}]}",0.15035799522673032,True,0.0,{},False,0.0,0.917251030492172
standard#15,0.945070887242815,0.045903091775632406,0.8881316098707404,4806.71,0.04629952180384457,1.0,0.04629952180384457,0.13603818615751795,"{""fnr_disparity"": 0.13603818615751795, ""fpr_disparity"": 0.04629952180384457, ""groups"": [{""false_negative_rate"": 0.92, ""false_positive_rate"": 0.0425715695952616, ""group"": ""10""}, {""false_negative_rate"": 0.863961813842482, ""false_positive_rate"": 0.04629952180384457, ""group"": ""20""}, {""false_negative_rate"": 0.9004106776180698, ""false_positive_rate"": 0.045819843213305504, ""group"": ""30""}, {""false_negative_rate"": 0.8785776235906332, ""false_positive_rate"": 0.04612771598417532, ""group"": ""40""}, {""false_negative_rate"": 0.8886861313868614, ""false_positive_rate"": 0.046084036663944096, ""group"": ""50""}, {""false_negative_rate"": 0.8980477223427332, ""false_positive_rate"": 0.04409683426443203, ""group"": ""60""}, {""false_negative_rate"": 0.9019607843137255, ""false_positive_rate"": 0.04359363153904473, ""group"": ""70""}, {""false_negative_rate"": 0.9565217391304348, ""false_positive_rate"": 0.04466019417475728, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""group"": ""90""}]}",0.13603818615751795,True,0.0,{},False,0.0,0.917955723333455
standard#10,0.9338175846705236,0.05733176504134588,0.8831962397179789,5041.5830000000005,0.06601941747572816,1.0,0.06601941747572816,0.16000000000000003,"{""fnr_disparity"": 0.16000000000000003, ""fpr_disparity"": 0.06601941747572816, ""groups"": [{""false_negative_rate"": 0.84, ""false_positive_rate"": 0.0549111549851925, ""group"": ""10""}, {""false_negative_rate"": 0.863961813842482, ""false_positive_rate"": 0.05853416516240724, ""group"": ""20""}, {""false_negative_rate"": 0.8983572895277208, ""false_positive_rate"": 0.05667493878087663, ""group"": ""30""}, {""false_negative_rate"": 0.8768430182133564, ""false_positive_rate"": 0.057105573851985336, ""group"": ""40""}, {""false_negative_rate"": 0.8886861313868614, ""false_positive_rate"": 0.05759143297939922, ""group"": ""50""}, {""false_negative_rate"": 0.8741865509761388, ""false_positive_rate"": 0.0576536312849162, ""group"": ""60""}, {""false_negative_rate"": 0.8823529411764706, ""false_positive_rate"": 0.051933282789992416, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.06601941747572816, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""group"": ""90""}]}",0.16000000000000003,True,0.0,{},False,0.0,0.9184641503253357
unfair#2,0.949470958772312,0.04142734938286692,0.8907168037602821,4717.504,0.08333333333333333,1.0,0.04569759789404409,0.13126491646778038,"{""fnr_disparity"": 0.13126491646778038, ""fpr_disparity"": 0.04569759789404409, ""groups"": [{""false_negative_rate"": 0.92, ""false_positive_rate"": 0.03763573543928924, ""group"": ""10""}, {""false_negative_rate"": 0.8687350835322196, ""false_positive_rate"": 0.04145422301041898, ""group"": ""20""}, {""false_negative_rate"": 0.8963039014373717, ""false_positive_rate"": 0.04160435189902542, ""group"": ""30""}, {""false_negative_rate"": 0.8881179531656548, ""false_positive_rate"": 0.040514509414030946, ""group"": ""40""}, {""false_negative_rate"": 0.8923357664233577, ""false_positive_rate"": 0.04272620019965514, ""group"": ""50""}, {""false_negative_rate"": 0.8980477223427332, ""false_positive_rate"": 0.04268156424581006, ""group"": ""60""}, {""false_negative_rate"": 0.9019607843137255, ""false_positive_rate"": 0.03828658074298711, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.06796116504854369, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.08333333333333333, ""group"": ""90""}]}",0.13126491646778038,True,0.0,{},False,0.0,0.9193311459686615
model_agreeing#3,0.9295963368837822,0.061512179722188275,0.891186839012926,5169.177,0.07012888551933283,1.0,0.028462218852666164,0.13043478260869568,"{""fnr_disparity"": 0.13043478260869568, ""fpr_disparity"": 0.028462218852666164, ""groups"": [{""false_negative_rate"": 0.92, ""false_positive_rate"": 0.055281342546890426, ""group"": ""10""}, {""false_negative_rate"": 0.8878281622911695, ""false_positive_rate"": 0.05875584549936135, ""group"": ""20""}, {""false_negative_rate"": 0.8737166324435318, ""false_positive_rate"": 0.0642924055417687, ""group"": ""30""}, {""false_negative_rate"": 0.8889852558542931, ""false_positive_rate"": 0.061496716999109344, ""group"": ""40""}, {""false_negative_rate"": 0.8968978102189781, ""false_positive_rate"": 0.06064071149832108, ""group"": ""50""}, {""false_negative_rate"": 0.9175704989154013, ""false_positive_rate"": 0.061527001862197395, ""group"": ""60""}, {""false_negative_rate"": 0.9117647058823529, ""false_positive_rate"": 0.07012888551933283, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.062135922330097085, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.041666666666666664, ""group"": ""90""}]}",0.13043478260869568,True,0.0,{},False,0.0,0.9207799897788298
standard#14,0.9421240734537413,0.04880035846673999,0.8956521739130435,4903.576,0.06990291262135923,1.0,0.06990291262135923,0.11279826464208242,"{""fnr_disparity"": 0.11279826464208242, ""fpr_disparity"": 0.06990291262135923, ""groups"": [{""false_negative_rate"": 0.92, ""false_positive_rate"": 0.051949654491609085, ""group"": ""10""}, {""false_negative_rate"": 0.8949880668257757, ""false_positive_rate"": 0.049709176510329245, ""group"": ""20""}, {""false_negative_rate"": 0.8963039014373717, ""false_positive_rate"": 0.04807139218038687, ""group"": ""30""}, {""false_negative_rate"": 0.8967909800520382, ""false_positive_rate"": 0.0475258393918681, ""group"": ""40""}, {""false_negative_rate"": 0.8941605839416058, ""false_positive_rate"": 0.049133315182865955, ""group"": ""50""}, {""false_negative_rate"": 0.8872017353579176, ""false_positive_rate"": 0.052811918063314714, ""group"": ""60""}, {""false_negative_rate"": 0.9215686274509803, ""false_positive_rate"": 0.055724033358605006, ""group"": ""70""}, {""false_negative_rate"": 0.9130434782608695, ""false_positive_rate"": 0.06990291262135923, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""group"": ""90""}]}",0.11279826464208242,True,0.0,{},False,0.0,0.9209934472740642
sparse#7,0.9254733162233433,0.06582498268768586,0.8777908343125734,5208.735000000001,0.06659217877094972,1.0,0.024925512104283058,0.19999999999999996,"{""fnr_disparity"": 0.19999999999999996, ""fpr_disparity"": 0.024925512104283058, ""groups"": [{""false_negative_rate"": 0.8, ""false_positive_rate"": 0.06651036525172754, ""group"": ""10""}, {""false_negative_rate"": 0.863961813842482, ""false_positive_rate"": 0.0656173797384172, ""group"": ""20""}, {""false_negative_rate"": 0.8798767967145791, ""false_positive_rate"": 0.06615773990500765, ""group"": ""30""}, {""false_negative_rate"": 0.8716392020815265, ""false_positive_rate"": 0.06625033658526482, ""group"": ""40""}, {""false_negative_rate"": 0.8886861313868614, ""false_positive_rate"": 0.0647608675923405, ""group"": ""50""}, {""false_negative_rate"": 0.8785249457700651, ""false_positive_rate"": 0.06659217877094972, ""group"": ""60""}, {""false_negative_rate"": 0.8823529411764706, ""false_positive_rate"": 0.05913570887035633, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.06407766990291262, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.041666666666666664, ""group"": ""90""}]}",0.19999999999999996,True,0.0,{},False,0.0,0.9215428583257715
model_agreeing#4,0.9319235641838711,0.05914446616970141,0.8925969447708578,5122.167,0.061527001862197395,1.0,0.01986033519553073,0.13043478260869568,"{""fnr_disparity"": 0.13043478260869568, ""fpr_disparity"": 0.01986033519553073, ""groups"": [{""false_negative_rate"": 0.88, ""false_positive_rate"": 0.05688548864758144, ""group"": ""10""}, {""false_negative_rate"": 0.8782816229116945, ""false_positive_rate"": 0.056961290390685204, ""group"": ""20""}, {""false_negative_rate"": 0.893223819301848, ""false_positive_rate"": 0.060430259503344456, ""group"": ""30""}, {""false_negative_rate"": 0.8924544666088465, ""false_positive_rate"": 0.059601483046459125, ""group"": ""40""}, {""false_negative_rate"": 0.885036496350365, ""false_positive_rate"": 0.05922497504310736, ""group"": ""50""}, {""false_negative_rate"": 0.9197396963123644, ""false_positive_rate"": 0.061527001862197395, ""group"": ""60""}, {""false_negative_rate"": 0.9117647058823529, ""false_positive_rate"": 0.05496588324488249, ""group"": ""70""}, {""false_negative_rate"": 0.8695652173913043, ""false_positive_rate"": 0.05825242718446602, ""group"": ""80""}, {""false_negative_rate"": 1.0, ""false_positive_rate"": 0.041666666666666664, ""group"": ""90""}]}",0.13043478260869568,True,0.0,{},False,0.0,0.9220551358642699
