method,precision,recall,f1,pr_auc,false_positives,false_negatives,false_positive_rate,false_negative_rate,cost_sensitive_loss,correct_reliance,correct_rejection,overreliance,underreliance,wrong_confident_avoidance_rate,ai_coverage,human_deferral_rate,escalation_rate,deferral_precision,deferral_recall,capacity_violation_rate,oracle_gap,audit_coverage,evidence_completeness,complete_decision_logs_rate,missing_evidence_rate,missing_rationale_rate,wrong_confident_avoidance_rate_assurance,correct_rejection_rate,overreliance_rate,underreliance_rate,assurance_effectiveness,audit_coverage_assurance,evidence_completeness_assurance,fairness_disparity,fairness_cost_disparity,fairness_available
AI-only,0.5288461538461539,0.03851540616246499,0.07180156657963446,0.20398419895975525,49.0,1373.0,0.0005135460881412776,0.961484593837535,1375.793,0.985316440011152,0.0,0.01468355998884793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01468355998884796,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
best expert only,0.3328495403967102,0.48179271708683474,0.3937052932761087,,1379.0,740.0,0.014452654194833098,0.5182072829131653,818.6030000000001,0.0,0.01468355998884793,0.0,0.985316440011152,1.0,0.0,1.0,0.0,0.01468355998884793,1.0,0.0,0.021880776101525168,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,106.12300000000002,1.0,1.0,0.717948717948718,0.0,1.0
random expert,0.1774800188058298,0.5287114845938375,0.26575149595212955,,3499.0,673.0,0.03667138290625164,0.47128851540616246,872.443,0.0,0.01468355998884793,0.0,0.985316440011152,1.0,0.0,1.0,0.0,0.01468355998884793,1.0,0.0,0.04308003676052996,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,115.27600000000001,1.0,1.0,0.6923076923076923,0.0,1.0
numerical threshold,0.5288461538461539,0.03851540616246499,0.07180156657963446,,49.0,1373.0,0.0005135460881412776,0.961484593837535,1375.793,0.985316440011152,0.0,0.01468355998884793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01468355998884796,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
distance threshold,0.5288461538461539,0.03851540616246499,0.07180156657963446,,49.0,1373.0,0.0005135460881412776,0.961484593837535,1375.793,0.985316440011152,0.0,0.01468355998884793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01468355998884796,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
oracle upper bound,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.985316440011152,0.01468355998884793,0.0,0.0,1.0,0.985316440011152,0.01468355998884793,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,290.057,1.0,1.0,0.0,0.0,1.0
learning-to-defer baseline,0.6982248520710059,0.24789915966386555,0.36589147286821705,0.20398419895975525,153.0,1074.0,0.0016035214588901116,0.7521008403361344,1082.721,0.9531199983478413,0.006350484805303429,0.0083330751835445,0.03219644166331072,0.15954118873826903,0.9614530735313859,0.03854692646861415,0.0,0.1647468523975355,0.43248945147679324,0.0,0.012669991635946842,1.0,1.0,1.0,0.0,0.0,0.15954118873826903,0.43248945147679324,0.5675105485232067,0.032676245270957124,65.72000000000003,1.0,1.0,0.9423076923076923,0.0,1.0
MAGD-Heuristic,0.7607843137254902,0.13585434173669467,0.2305407011289364,0.20398419895975525,61.0,1234.0,0.0006393124770738354,0.8641456582633054,1237.477,0.792664415600508,0.0030048635420216224,0.011678696446826306,0.19265202441064402,0.21793534932221065,0.8043431120473343,0.0,0.19565688795266564,0.015357821405953135,0.20464135021097046,0.0,0.013372159061573852,1.0,1.0,1.0,0.0,0.0,0.21793534932221065,0.20464135021097046,0.7953586497890295,0.19552299808218318,138.3159999999998,1.0,1.0,0.9294871794871795,0.0,1.0
MAGD-Learned,0.639751552795031,0.07212885154061624,0.12964128382630585,0.20398419895975525,58.0,1325.0,0.0006078708798406959,0.9278711484593838,1328.306,0.8960069390663239,0.00104292514688723,0.0136406348419607,0.08930950094482823,0.08029197080291971,0.9096475739082845,0.0,0.09035242609171545,0.011542857142857143,0.0710267229254571,0.0,0.01428084631826776,1.0,1.0,1.0,0.0,0.0,0.08029197080291971,0.0710267229254571,0.9289732770745429,0.09064042506366524,47.48699999999985,1.0,1.0,1.0,0.0,1.0
MAGD-Fraud-ValidationTuned,0.4966442953020134,0.05182072829131653,0.09384908053265696,0.20398419895975525,75.0,1354.0,0.0007860399308284861,0.9481792717086834,1358.275,0.9662546596036884,0.0004233656536868953,0.014260194335161035,0.019061780407463626,0.01564129301355579,0.9805148539388495,0.01948514606115052,0.0,0.02172760996290408,0.028832630098452883,0.0,0.014755841929721347,1.0,1.0,1.0,0.0,0.0,0.01564129301355579,0.028832630098452883,0.9711673699015471,0.01934584630217667,17.5179999999998,1.0,1.0,0.0,0.0,0.0
MAGD-Constrained,0.639751552795031,0.07212885154061624,0.12964128382630585,0.20398419895975525,58.0,1325.0,0.0006078708798406959,0.9278711484593838,1328.306,0.8960069390663239,0.00104292514688723,0.0136406348419607,0.08930950094482823,0.08029197080291971,0.9096475739082845,0.0,0.09035242609171545,0.011542857142857143,0.0710267229254571,0.0,0.01428084631826776,1.0,1.0,1.0,0.0,0.0,0.08029197080291971,0.0710267229254571,0.9289732770745429,0.09064042506366524,47.48699999999985,1.0,1.0,1.0,0.0,1.0
