method,wrong_confident_avoidance_rate,correct_rejection_rate,overreliance_rate,underreliance_rate,assurance_effectiveness,audit_coverage,evidence_completeness
AI-only,0.0,0.0,1.0,0.0,0.0,1.0,1.0
best expert only,1.0,1.0,0.0,1.0,106.12300000000002,1.0,1.0
random expert,1.0,1.0,0.0,1.0,115.27600000000001,1.0,1.0
numerical threshold,0.0,0.0,1.0,0.0,0.0,1.0,1.0
distance threshold,0.0,0.0,1.0,0.0,0.0,1.0,1.0
oracle upper bound,1.0,1.0,0.0,0.0,290.057,1.0,1.0
learning-to-defer baseline,0.15954118873826903,0.43248945147679324,0.5675105485232067,0.032676245270957124,65.72000000000003,1.0,1.0
MAGD-Heuristic,0.21793534932221065,0.20464135021097046,0.7953586497890295,0.19552299808218318,138.3159999999998,1.0,1.0
MAGD-Learned,0.08029197080291971,0.0710267229254571,0.9289732770745429,0.09064042506366524,47.48699999999985,1.0,1.0
MAGD-Fraud-ValidationTuned,0.01564129301355579,0.028832630098452883,0.9711673699015471,0.01934584630217667,17.5179999999998,1.0,1.0
MAGD-Constrained,0.08029197080291971,0.0710267229254571,0.9289732770745429,0.09064042506366524,47.48699999999985,1.0,1.0
