method,ai_coverage,human_deferral_rate,escalation_rate,deferral_precision,deferral_recall,capacity_violation_rate,oracle_gap
AI-only,1.0,0.0,0.0,0.0,0.0,0.0,0.01468355998884796
best expert only,0.0,1.0,0.0,0.01468355998884793,1.0,0.0,0.021880776101525168
random expert,0.0,1.0,0.0,0.01468355998884793,1.0,0.0,0.04308003676052996
numerical threshold,1.0,0.0,0.0,0.0,0.0,0.0,0.01468355998884796
distance threshold,1.0,0.0,0.0,0.0,0.0,0.0,0.01468355998884796
oracle upper bound,0.985316440011152,0.01468355998884793,0.0,1.0,1.0,0.0,0.0
learning-to-defer baseline,0.9614530735313859,0.03854692646861415,0.0,0.1647468523975355,0.43248945147679324,0.0,0.012669991635946842
MAGD-Heuristic,0.8043431120473343,0.0,0.19565688795266564,0.015357821405953135,0.20464135021097046,0.0,0.013372159061573852
MAGD-Learned,0.9096475739082845,0.0,0.09035242609171545,0.011542857142857143,0.0710267229254571,0.0,0.01428084631826776
MAGD-Fraud-ValidationTuned,0.9805148539388495,0.01948514606115052,0.0,0.02172760996290408,0.028832630098452883,0.0,0.014755841929721347
MAGD-Constrained,0.9096475739082845,0.0,0.09035242609171545,0.011542857142857143,0.0710267229254571,0.0,0.01428084631826776
