method,budget,threshold,recall,precision,f1,cost_loss,ai_coverage,human_deferral,wca,correct_rejection,overreliance,actual_budget_gap,validation_deferral,validation_budget_gap,coverage_sum
MAGD-Fraud,0.01,0.2763588024160446,0.04061624649859944,0.32222222222222224,0.07213930348258707,1376.954,0.9839534091261113,0.016046590873888666,0.013555787278415016,0.00014456388174674474,0.014538996107101184,0.0060465908738886655,0.00999807245878833,1.927541211669756e-06,1.0
MAGD-Fraud,0.02,0.2569805992104467,0.05322128851540616,0.19047619047619047,0.08319649698960042,1370.411,0.9450244209700236,0.05497557902997635,0.04275286757038582,0.0005266255692202844,0.014156934419627645,0.03497557902997635,0.01999614491757666,3.855082423339512e-06,1.0
MAGD-Fraud,0.05,0.2402558170385565,0.09313725490196079,0.1608222490931076,0.11796008869179601,1334.558,0.8752413700525593,0.1247586299474407,0.13034410844629823,0.00170378860630092,0.012979771382547009,0.0747586299474407,0.04999874290790543,1.2570920945725872e-06,1.0
MAGD-Fraud,0.1,0.224512922221585,0.13725490196078433,0.15433070866141732,0.14529280948851,1293.218,0.8044257199797611,0.19557428002023894,0.21793534932221065,0.0030048635420216224,0.011678696446826306,0.09557428002023893,0.09999748581581086,2.5141841891451744e-06,1.0
MAGD-Fraud,0.2,0.200511411658662,0.21498599439775912,0.14193250115580214,0.17098301308827626,1226.792,0.6499179083671509,0.35008209163284904,0.38477580813347234,0.005400493582396249,0.00928306640645168,0.15008209163284902,0.20000335224558552,3.3522455855083955e-06,1.0
Learning-to-defer,0.01,0.8043294648290311,0.19747899159663865,0.5573122529644269,0.29162357807652534,1158.768,0.9854610038928988,0.014538996107101184,0.0,0.003965180756482141,0.010718379232365788,0.004538996107101184,0.00999807245878833,1.927541211669756e-06,1.0
Learning-to-defer,0.02,0.5715308766822242,0.2689075630252101,0.4665856622114216,0.341181697023545,1069.023,0.970261144326384,0.02973885567361606,0.09176225234619395,0.005668969362783062,0.009014590626064868,0.00973885567361606,0.01999614491757666,3.855082423339512e-06,1.0
Learning-to-defer,0.05,0.3523085784114884,0.36134453781512604,0.36058700209643607,0.3609653725078699,964.155,0.927666429168861,0.07233357083113906,0.32742440041710114,0.008023295436944333,0.0066602645519035965,0.022333570831139057,0.04999874290790543,1.2570920945725872e-06,1.0
Learning-to-defer,0.1,0.2664489841195063,0.41596638655462187,0.29464285714285715,0.34494773519163763,915.054,0.8554464442448086,0.14455355575519138,0.5099061522419187,0.009830343958778642,0.004853216030069288,0.044553555755191376,0.09999748581581086,2.5141841891451744e-06,1.0
Learning-to-defer,0.2,0.2122544831662738,0.45448179271708683,0.2207482993197279,0.29716117216117216,909.587,0.6751236537488512,0.32487634625114875,0.6882168925964547,0.011596088514399595,0.003087471474448334,0.12487634625114874,0.20000335224558552,3.3522455855083955e-06,1.0
Distance threshold,0.01,0.549029866730403,0.04131652661064426,0.34911242603550297,0.073888541014402,1375.27,0.9886517352828805,0.011348264717119461,0.006256517205422315,0.0001032599155333891,0.01458030007331454,0.001348264717119461,0.00999807245878833,1.927541211669756e-06,1.0
Distance threshold,0.02,0.4913708218737476,0.06022408963585434,0.245014245014245,0.09668353007307476,1357.105,0.9575705007073304,0.04242949929266958,0.04275286757038582,0.0007124934171803848,0.013971066571667544,0.022429499292669578,0.01999614491757666,3.855082423339512e-06,1.0
Distance threshold,0.05,0.446813526602335,0.10784313725490197,0.19469026548672566,0.138801261829653,1310.309,0.8867445246429788,0.11325547535702116,0.132429614181439,0.0021374802515411544,0.012546079737306775,0.06325547535702115,0.04999874290790543,1.2570920945725872e-06,1.0
Distance threshold,0.1,0.4078355289566111,0.16176470588235295,0.1714922048997773,0.16648648648648648,1260.612,0.80250508555084,0.19749491444915998,0.2273201251303441,0.003655401009881974,0.011028158978965955,0.09749491444915998,0.09999748581581086,2.5141841891451744e-06,1.0
Distance threshold,0.2,0.3432072829298057,0.25770308123249297,0.15692963752665245,0.1950702358865624,1172.689,0.6334272998564687,0.36657270014353127,0.40041710114702816,0.0063711367884101075,0.008312423200437822,0.16657270014353126,0.20000335224558552,3.3522455855083955e-06,1.0
Confidence threshold,0.01,0.1437383647448609,0.18207282913165265,0.5701754385964912,0.2760084925690021,1179.172,0.9874229422880332,0.012577057711966792,0.0,0.003624423035221957,0.011059136953625972,0.0025770577119667917,0.00999807245878833,1.927541211669756e-06,1.0
Confidence threshold,0.02,0.08934173743498763,0.2507002801120448,0.4890710382513661,0.3314814814814815,1091.318,0.9760953295540205,0.023904670445979576,0.043795620437956206,0.0052146257344361496,0.00946893425441178,0.003904670445979575,0.01999614491757666,3.855082423339512e-06,1.0
Confidence threshold,0.05,0.042735941559272184,0.36904761904761907,0.3869309838472834,0.37777777777777777,948.595,0.9444048614768233,0.055595138523176685,0.32012513034410844,0.00795101349607096,0.006732546492776969,0.005595138523176682,0.04999874290790543,1.2570920945725872e-06,1.0
Confidence threshold,0.1,0.022412672635958808,0.4341736694677871,0.32041343669250644,0.36871840618495394,882.955,0.8912363309686813,0.10876366903131873,0.5338894681960376,0.010067841764505437,0.004615718224342492,0.008763669031318727,0.09999748581581086,2.5141841891451744e-06,1.0
Confidence threshold,0.2,0.011224830708498779,0.4803921568627451,0.2644564379336931,0.3411238189955246,850.756,0.7956899311256364,0.20431006887436365,0.7299270072992701,0.012009128176533152,0.0026744318123147776,0.004310068874363637,0.20000335224558552,3.3522455855083955e-06,1.0
