method,c_R,operational_loss,L_fraud,reviewer_actions
MAGD-Fraud,0.0,1011.482,1011.482,73420
MAGD-Fraud,6.744344275932046e-06,1011.9771697567389,1011.482,73420
MAGD-Fraud,1.3488688551864092e-05,1012.4723395134778,1011.482,73420
MAGD-Fraud,2.023303282779614e-05,1012.9675092702167,1011.482,73420
MAGD-Fraud,2.6977377103728184e-05,1013.4626790269557,1011.482,73420
MAGD-Fraud,3.372172137966023e-05,1013.9578487836947,1011.482,73420
MAGD-Fraud,4.046606565559228e-05,1014.4530185404335,1011.482,73420
MAGD-Fraud,4.7210409931524324e-05,1014.9481882971725,1011.482,73420
MAGD-Fraud,5.395475420745637e-05,1015.4433580539114,1011.482,73420
MAGD-Fraud,6.069909848338841e-05,1015.9385278106504,1011.482,73420
MAGD-Fraud,6.744344275932046e-05,1016.4336975673892,1011.482,73420
MAGD-Fraud,7.418778703525251e-05,1016.9288673241282,1011.482,73420
MAGD-Fraud,8.093213131118456e-05,1017.4240370808672,1011.482,73420
MAGD-Fraud,8.76764755871166e-05,1017.9192068376061,1011.482,73420
MAGD-Fraud,9.442081986304865e-05,1018.414376594345,1011.482,73420
MAGD-Fraud,0.00010116516413898068,1018.9095463510839,1011.482,73420
MAGD-Fraud,0.00010790950841491274,1019.4047161078229,1011.482,73420
MAGD-Fraud,0.00011465385269084479,1019.8998858645618,1011.482,73420
MAGD-Fraud,0.00012139819696677682,1020.3950556213007,1011.482,73420
MAGD-Fraud,0.00012814254124270886,1020.8902253780396,1011.482,73420
MAGD-Fraud,0.0001348868855186409,1021.3853951347786,1011.482,73420
MAGD-Fraud,0.00014163122979457296,1021.8805648915176,1011.482,73420
MAGD-Fraud,0.00014837557407050502,1022.3757346482564,1011.482,73420
MAGD-Fraud,0.00015511991834643707,1022.8709044049954,1011.482,73420
MAGD-Fraud,0.00016186426262236912,1023.3660741617343,1011.482,73420
MAGD-Fraud,0.00016860860689830114,1023.8612439184733,1011.482,73420
MAGD-Fraud,0.0001753529511742332,1024.3564136752123,1011.482,73420
MAGD-Fraud,0.00018209729545016524,1024.8515834319512,1011.482,73420
MAGD-Fraud,0.0001888416397260973,1025.34675318869,1011.482,73420
MAGD-Fraud,0.00019558598400202935,1025.841922945429,1011.482,73420
MAGD-Fraud,0.00020233032827796137,1026.3370927021679,1011.482,73420
MAGD-Fraud,0.00020907467255389342,1026.8322624589068,1011.482,73420
MAGD-Fraud,0.00021581901682982547,1027.3274322156458,1011.482,73420
MAGD-Fraud,0.00022256336110575752,1027.8226019723847,1011.482,73420
MAGD-Fraud,0.00022930770538168957,1028.3177717291237,1011.482,73420
MAGD-Fraud,0.0002360520496576216,1028.8129414858624,1011.482,73420
MAGD-Fraud,0.00024279639393355365,1029.3081112426014,1011.482,73420
MAGD-Fraud,0.0002495407382094857,1029.8032809993404,1011.482,73420
MAGD-Fraud,0.0002562850824854177,1030.2984507560793,1011.482,73420
MAGD-Fraud,0.0002630294267613498,1030.7936205128183,1011.482,73420
MAGD-Fraud,0.0002697737710372818,1031.2887902695572,1011.482,73420
MAGD-Fraud,0.0002765181153132139,1031.7839600262962,1011.482,73420
MAGD-Fraud,0.00028326245958914593,1032.2791297830352,1011.482,73420
MAGD-Fraud,0.00029000680386507795,1032.774299539774,1011.482,73420
MAGD-Fraud,0.00029675114814101003,1033.2694692965129,1011.482,73420
MAGD-Fraud,0.00030349549241694205,1033.7646390532518,1011.482,73420
MAGD-Fraud,0.00031023983669287413,1034.2598088099908,1011.482,73420
MAGD-Fraud,0.00031698418096880616,1034.7549785667297,1011.482,73420
MAGD-Fraud,0.00032372852524473823,1035.2501483234687,1011.482,73420
MAGD-Fraud,0.00033047286952067026,1035.7453180802077,1011.482,73420
MAGD-Fraud,0.0003372172137966023,1036.2404878369466,1011.482,73420
MAGD-Fraud,0.00034396155807253436,1036.7356575936853,1011.482,73420
MAGD-Fraud,0.0003507059023484664,1037.2308273504243,1011.482,73420
MAGD-Fraud,0.00035745024662439846,1037.7259971071633,1011.482,73420
MAGD-Fraud,0.0003641945909003305,1038.2211668639022,1011.482,73420
