method,correct_reliance,correct_rejection,overreliance,underreliance,wrong_confident_avoidance_rate
AI-only,0.985316440011152,0.0,0.01468355998884793,0.0,0.0
best expert only,0.0,0.01468355998884793,0.0,0.985316440011152,1.0
random expert,0.0,0.01468355998884793,0.0,0.985316440011152,1.0
numerical threshold,0.985316440011152,0.0,0.01468355998884793,0.0,0.0
distance threshold,0.985316440011152,0.0,0.01468355998884793,0.0,0.0
oracle upper bound,0.985316440011152,0.01468355998884793,0.0,0.0,1.0
learning-to-defer baseline,0.9531199983478413,0.006350484805303429,0.0083330751835445,0.03219644166331072,0.15954118873826903
MAGD-Heuristic,0.792664415600508,0.0030048635420216224,0.011678696446826306,0.19265202441064402,0.21793534932221065
MAGD-Learned,0.8960069390663239,0.00104292514688723,0.0136406348419607,0.08930950094482823,0.08029197080291971
MAGD-Fraud-ValidationTuned,0.9662546596036884,0.0004233656536868953,0.014260194335161035,0.019061780407463626,0.01564129301355579
MAGD-Constrained,0.8960069390663239,0.00104292514688723,0.0136406348419607,0.08930950094482823,0.08029197080291971
