variant,status,signals_used,precision,recall,f1,pr_auc,cost_sensitive_loss,overreliance,underreliance,correct_rejection,wrong_confident_avoidance,ai_coverage,expert_deferral_rate,escalation_rate,capacity_violation_rate,fairness_disparity,fairness_available,audit_coverage,evidence_completeness
distance_only,completed,distance_uncertainty,0.5446,0.0427,0.0792,0.204,1369.907,0.0146,0.0047,0.0001,0.0042,0.9952,0.0001,0.0047,0.0,0.0,0.0,1.0,1.0
distance_plus_calibration,completed,"distance_uncertainty,calibration_risk",0.5288,0.0385,0.0718,0.204,1375.793,0.0147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
distance_plus_neighbor_error,completed,"distance_uncertainty,neighbor_error_rate",0.5288,0.0385,0.0718,0.204,1375.793,0.0147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
distance_plus_wrong_confident,completed,"distance_uncertainty,wrong_confident_risk",0.5377,0.0399,0.0743,0.204,1373.793,0.0147,0.0007,0.0,0.0021,0.9993,0.0,0.0007,0.0,0.0,0.0,1.0,1.0
full_magd_heuristic,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.5288,0.0385,0.0718,0.204,1375.793,0.0147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
full_magd_learned,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.5288,0.0385,0.0718,0.204,1375.793,0.0147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_initial,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.6398,0.0721,0.1296,0.204,1328.306,0.0136,0.0893,0.001,0.0,0.9096,0.0,0.0904,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_intervention_calibrated,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.6398,0.0721,0.1296,0.204,1328.306,0.0136,0.0893,0.001,0.0,0.9096,0.0,0.0904,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_fairness_if_available,completed,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",0.6398,0.0721,0.1296,0.204,1328.306,0.0136,0.0893,0.001,0.0803,0.9096,0.0,0.0904,0.0,0.0,0.0,1.0,1.0
full_magd_constrained_capacity_if_available,skipped_no_capacity_data,"distance_uncertainty,calibration_risk,neighbor_error_rate,wrong_confident_risk,drift_risk,business_risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
