expert,accuracy,false_positive_rate,false_negative_rate,cost_sensitive_loss,bias_risk,expected_cost,remaining_capacity_total,capacity_enabled,fairness_available
sparse#3,0.9294678860263098,0.06181769114831561,0.8749706227967098,5107.017,0.17647058823529416,0.9137883488392226,0.0,False,True
standard#9,0.9345908084596224,0.05653234347631268,0.8848413631022327,5030.6849999999995,0.13603818615751795,0.9152713439118861,0.0,False,True
unfair#7,0.945861741541763,0.04514185913886513,0.8846063454759107,4774.667,0.15035799522673032,0.917251030492172,0.0,False,True
standard#15,0.945070887242815,0.045903091775632406,0.8881316098707404,4806.71,0.13603818615751795,0.917955723333455,0.0,False,True
standard#10,0.9338175846705236,0.05733176504134588,0.8831962397179789,5041.5830000000005,0.16000000000000003,0.9184641503253357,0.0,False,True
unfair#2,0.949470958772312,0.04142734938286692,0.8907168037602821,4717.504,0.13126491646778038,0.9193311459686615,0.0,False,True
model_agreeing#3,0.9295963368837822,0.061512179722188275,0.891186839012926,5169.177,0.13043478260869568,0.9207799897788298,0.0,False,True
standard#14,0.9421240734537413,0.04880035846673999,0.8956521739130435,4903.576,0.11279826464208242,0.9209934472740642,0.0,False,True
sparse#7,0.9254733162233433,0.06582498268768586,0.8777908343125734,5208.735000000001,0.19999999999999996,0.9215428583257715,0.0,False,True
model_agreeing#4,0.9319235641838711,0.05914446616970141,0.8925969447708578,5122.167,0.13043478260869568,0.9220551358642699,0.0,False,True
sparse#4,0.9453051211593824,0.04562303963501568,0.8921269095182138,4817.4400000000005,0.13842482100238662,0.922412386977887,0.0,False,True
standard#17,0.9464183619241435,0.04445445843007862,0.8961222091656874,4808.277,0.13043478260869568,0.924743069817941,0.0,False,True
sparse#6,0.9435999989925423,0.0473517251211862,0.8916568742655699,4854.143,0.16000000000000003,0.9263559225974776,0.0,False,True
model_agreeing#1,0.9399857444734648,0.0508701983787527,0.9041128084606346,4985.917,0.10061601642710472,0.9271356130536444,0.0,False,True
model_agreeing#0,0.9490276773818189,0.04179905495132184,0.8977673325499412,4755.826,0.13603818615751795,0.9273575159136701,0.0,False,True
standard#7,0.9429904870806143,0.0478889160454601,0.8989424206815512,4897.17,0.13043478260869568,0.9277590454178815,0.0,False,True
standard#4,0.9443707041373769,0.04648865534237647,0.899412455934195,4867.82,0.13043478260869568,0.9281492658104497,0.0,False,True
unfair#4,0.9518007047166651,0.039003625402256714,0.8970622796709753,4690.24,0.1470588235294118,0.9286972510247863,0.0,False,True
standard#2,0.9447862804409642,0.04612458755957473,0.8942420681551116,4837.669,0.16000000000000003,0.9288711696460075,0.0,False,True
sparse#1,0.9548658947861545,0.035811030999226036,0.9057579318448884,4655.762,0.10784313725490191,0.9293677880628247,0.0,False,True
sparse#2,0.9535310133261468,0.03720110798810542,0.9019976498237368,4670.884,0.13043478260869568,0.9302050695007978,0.0,False,True
sparse#8,0.9464334737897284,0.04437298871644466,0.9022326674500587,4832.453,0.12745098039215685,0.9302521238853274,0.0,False,True
unfair#9,0.9491536095950271,0.04168448816652409,0.8965922444183314,4748.261,0.16000000000000003,0.9309682602438233,0.0,False,True
model_agreeing#8,0.9548029286795504,0.03599942971200456,0.8942420681551116,4610.98,0.17391304347826086,0.9310766443443481,0.0,False,True
sparse#0,0.9478766569530953,0.042972728013361036,0.8968272620446534,4778.103,0.16000000000000003,0.931276707541415,0.0,False,True
standard#16,0.949972168980881,0.040851969530327104,0.8970622796709753,4731.622,0.16000000000000003,0.931390841934204,0.0,False,True
sparse#5,0.9523799928974231,0.03833913805042975,0.9043478260869565,4706.363,0.12745098039215685,0.9320233530342624,0.0,False,True
standard#5,0.9452925279380615,0.045602672206607194,0.8951821386603995,4829.984,0.17647058823529416,0.9330756086232349,0.0,False,True
standard#0,0.9483829044501926,0.042412623732127584,0.9012925969447708,4784.563,0.1470588235294118,0.9331218812033845,0.0,False,True
unfair#6,0.9544075015300764,0.03633294635219357,0.9003525264394829,4644.447,0.16000000000000003,0.934423504381558,0.0,False,True
standard#11,0.9442573651454895,0.04668469184080818,0.8918918918918919,4840.209,0.19999999999999996,0.9345529193268179,0.0,False,True
model_agreeing#7,0.9452421550527782,0.04567905006313903,0.8928319623971798,4821.694,0.19999999999999996,0.9354356682507787,0.0,False,True
standard#1,0.9488236671964215,0.04195435659293657,0.9024676850763808,4779.303,0.16000000000000003,0.9368590834021782,0.0,False,True
sparse#9,0.9410335004873577,0.04984418917267506,0.9010575793184489,4949.946,0.17391304347826086,0.9386813067969435,0.0,False,True
standard#6,0.9529769115880304,0.037577905413662474,0.918918918918919,4751.32,0.08830548926014314,0.9387219573795264,0.0,False,True
unfair#5,0.9510879283899063,0.03976485803902399,0.8933019976498238,4691.283,0.21739130434782605,0.9390468554276133,0.0,False,True
model_agreeing#2,0.9636433700467713,0.026969021141390687,0.9029377203290246,4445.801,0.17391304347826086,0.9392575632297361,0.0,False,True
standard#12,0.949881497787371,0.04088761253004196,0.9022326674500587,4754.42,0.17391304347826086,0.9393458700599233,0.0,False,True
standard#13,0.9523951047630081,0.03831113283636808,0.9055229142185663,4710.736,0.16000000000000003,0.9397066487902394,0.0,False,True
standard#8,0.9465317009160309,0.044240600431789484,0.9052878965922444,4842.489,0.16000000000000003,0.9398096108168564,0.0,False,True
standard#3,0.9423482327932521,0.048591592325552976,0.8940070505287897,4891.902,0.21739130434782605,0.9402550321609114,0.0,False,True
standard#19,0.9399127037898041,0.0510535052344291,0.8940070505287897,4947.021,0.21739130434782605,0.9403953611967174,0.0,False,True
unfair#0,0.9622354479031027,0.0282852662022893,0.9128084606345476,4517.27,0.13043478260869568,0.9405076773298171,0.0,False,True
unfair#1,0.9409680157364894,0.04989001588659416,0.9029377203290246,4958.972,0.17391304347826086,0.9405640599302127,0.0,False,True
unfair#3,0.9630867496643907,0.027450201637541242,0.9104582843713278,4488.5740000000005,0.17391304347826086,0.9468055545603199,0.0,False,True
model_agreeing#6,0.9410511309972068,0.049831459529919755,0.900587544065805,4947.661,0.21739130434782605,0.9469061981285756,0.0,False,True
unfair#8,0.9686403602668755,0.021676035683734572,0.9252643948296122,4422.298,0.10784313725490191,0.9480685563145655,0.0,False,True
model_agreeing#5,0.9498084571037102,0.0408977962442462,0.9081081081081082,4779.648,0.19999999999999996,0.9504392824940302,0.0,False,True
standard#18,0.9528434234420297,0.03788087091123875,0.9034077555816686,4692.103,0.24,0.9535669652236093,0.0,False,True
model_agreeing#9,0.9454814262578739,0.045284431137724554,0.9069330199764982,4872.859,0.24,0.9575142325513486,0.0,False,True
