method,precision,recall,f1,pr_auc,false_positives,false_negatives,false_positive_rate,false_negative_rate,cost_sensitive_loss,correct_reliance,correct_rejection,overreliance,underreliance,wrong_confident_avoidance_rate,ai_coverage,human_deferral_rate,escalation_rate,deferral_precision,deferral_recall,capacity_violation_rate,oracle_gap,audit_coverage,evidence_completeness,complete_decision_logs_rate,missing_evidence_rate,missing_rationale_rate,wrong_confident_avoidance_rate_assurance,correct_rejection_rate,overreliance_rate,underreliance_rate,assurance_effectiveness,audit_coverage_assurance,evidence_completeness_assurance,fairness_disparity,fairness_cost_disparity,fairness_available
AI-only,0.5288,0.0385,0.0718,0.204,49.0,1373.0,0.0005,0.9615,1375.793,0.9853,0.0,0.0147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0147,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
best expert only,0.3328,0.4818,0.3937,NA,1379.0,740.0,0.0145,0.5182,818.603,0.0,0.0147,0.0,0.9853,1.0,0.0,1.0,0.0,0.0147,1.0,0.0,0.0219,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,106.123,1.0,1.0,0.7179,0.0,1.0
random expert,0.1775,0.5287,0.2658,NA,3499.0,673.0,0.0367,0.4713,872.443,0.0,0.0147,0.0,0.9853,1.0,0.0,1.0,0.0,0.0147,1.0,0.0,0.0431,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,115.276,1.0,1.0,0.6923,0.0,1.0
numerical threshold,0.5288,0.0385,0.0718,NA,49.0,1373.0,0.0005,0.9615,1375.793,0.9853,0.0,0.0147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0147,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
distance threshold,0.5288,0.0385,0.0718,NA,49.0,1373.0,0.0005,0.9615,1375.793,0.9853,0.0,0.0147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0147,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
oracle upper bound,1.0,1.0,1.0,NA,0.0,0.0,0.0,0.0,0.0,0.9853,0.0147,0.0,0.0,1.0,0.9853,0.0147,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,290.057,1.0,1.0,0.0,0.0,1.0
learning-to-defer baseline,0.6982,0.2479,0.3659,0.204,153.0,1074.0,0.0016,0.7521,1082.721,0.9531,0.0064,0.0083,0.0322,0.1595,0.9615,0.0385,0.0,0.1647,0.4325,0.0,0.0127,1.0,1.0,1.0,0.0,0.0,0.1595,0.4325,0.5675,0.0327,65.72,1.0,1.0,0.9423,0.0,1.0
MAGD-Heuristic,0.7608,0.1359,0.2305,0.204,61.0,1234.0,0.0006,0.8641,1237.477,0.7927,0.003,0.0117,0.1927,0.2179,0.8043,0.0,0.1957,0.0154,0.2046,0.0,0.0134,1.0,1.0,1.0,0.0,0.0,0.2179,0.2046,0.7954,0.1955,138.316,1.0,1.0,0.9295,0.0,1.0
MAGD-Learned,0.6398,0.0721,0.1296,0.204,58.0,1325.0,0.0006,0.9279,1328.306,0.896,0.001,0.0136,0.0893,0.0803,0.9096,0.0,0.0904,0.0115,0.071,0.0,0.0143,1.0,1.0,1.0,0.0,0.0,0.0803,0.071,0.929,0.0906,47.487,1.0,1.0,1.0,0.0,1.0
MAGD-Fraud-ValidationTuned,0.4966,0.0518,0.0938,0.204,75.0,1354.0,0.0008,0.9482,1358.275,0.9663,0.0004,0.0143,0.0191,0.0156,0.9805,0.0195,0.0,0.0217,0.0288,0.0,0.0148,1.0,1.0,1.0,0.0,0.0,0.0156,0.0288,0.9712,0.0193,17.518,1.0,1.0,0.0,0.0,0.0
MAGD-Constrained,0.6398,0.0721,0.1296,0.204,58.0,1325.0,0.0006,0.9279,1328.306,0.896,0.001,0.0136,0.0893,0.0803,0.9096,0.0,0.0904,0.0115,0.071,0.0,0.0143,1.0,1.0,1.0,0.0,0.0,0.0803,0.071,0.929,0.0906,47.487,1.0,1.0,1.0,0.0,1.0
